date,grossReturn,netReturn,SPYReturn,equalWeightReturn,turnover,equity
2023-01-03,0.0,-0.0006890725219046434,0.0,0.0,0.6890725219045949,0.9993109274780954
2023-01-04,0.008555922833167489,0.008555922833167529,0.007720286246805985,0.018883909770465813,0.0,1.007860954659939
2023-01-05,-0.0004959160687533535,-0.0004959160687533215,-0.011413450316569484,-0.01356137175118882,0.0,1.007361140217454
2023-01-06,0.014165016978508175,0.014165016978508138,0.022932199798045172,0.021372235380638555,0.0,1.0216304278721235
2023-01-09,-0.0064429099489835395,-0.006442909948983555,-0.0005668858713092639,0.009011065650877247,0.0,1.0150481550242019
2023-01-10,0.006516381196950848,0.00651638119695086,0.0070127836026780965,0.013847012616331422,0.0,1.0216625957356011
2023-01-11,0.003318658943763512,0.003318658943763486,0.0126479194204423,0.013668573452007539,0.0,1.0250531454464478
2023-01-12,0.0013350289202580434,0.0013350289202580523,0.00364074281546789,0.01131022334257873,0.0,1.0264216210404202
2023-01-13,0.0037662958978020014,0.0037662958978019745,0.0038794324712942974,0.00730043060252353,0.0,1.03028742858116
2023-01-17,0.0002324754389487735,0.00023247543894866496,-0.0018319071239987217,0.003516936247946983,0.0,1.0305269451033627
2023-01-18,-0.014074618150073262,-0.01407461815007327,-0.015787984647704256,-0.017450027768299257,0.0,1.0160226718576715
2023-01-19,-0.006764664721621933,-0.00676466472162196,-0.007279890457202232,-0.008254213909454756,0.0,1.0091496191329878
2023-01-20,0.004456115889550504,0.004456115889550416,0.018629035377387693,0.0253209810608489,0.0,1.01364650678574
2023-01-23,0.0008536623352436613,0.0008536623352437545,0.011998819071955769,0.017888031614947803,0.0,1.0145118186298345
2023-01-24,0.007078253575031443,0.007078253575031335,-0.0010733204621977688,-0.0002940509854824612,0.0,1.0216927905369626
2023-01-25,0.002829339411536893,0.0028293394115368464,0.00037474593597242034,-0.0009303874821930727,0.0,1.0245835062157118
2023-01-26,0.003534858938462277,0.003534858938462282,0.010990236578673818,0.01463278568268833,0.0,1.0282052643808595
2023-01-27,-0.0005528359748111166,-0.00055283597481115,0.002297716532322358,0.00968416948897998,0.0,1.0276368355212195
2023-01-30,-0.006515659569750112,-0.006515659569750087,-0.01254683003353041,-0.01959658604805581,0.0,1.020941103739628
2023-01-31,0.0006914573330461615,0.0006914573330460971,0.014703404303224366,0.015301858875960922,0.0,1.021647040952417
2023-02-01,0.001559951207049714,0.001559951207049659,0.010627730513844913,0.017688866413459833,0.0,1.0232407604871294
2023-02-02,-0.008125236869072586,-0.00928614611916656,0.014557136931436787,0.021363775539969276,1.1704191831935227,1.0137387972701588
2023-02-03,-0.013407663434846322,-0.01340766343484634,-0.010629276380023978,-0.013474488773666735,0.0,1.0001469286655147
2023-02-06,-0.0031474352063536673,-0.0031474352063536326,-0.0061112957538348445,-0.005176187557111707,0.0,0.9969990310107064
2023-02-07,0.00997808522861461,0.009978085228614653,0.013078533737033382,0.013324528824344999,0.0,1.0069471723149774
2023-02-08,7.225762891057688e-05,7.225762891049925e-05,-0.010934727483926543,-0.00751379380557522,0.0,1.007019931930087
2023-02-09,-0.010001936519003845,-0.010001936519003829,-0.00866904735609253,-0.011075710466726549,0.0,0.9969477824975507
2023-02-10,-0.01594552474152357,-0.015945524741523553,0.0023336657509502867,-0.004845660288829159,0.0,0.9810509269657289
2023-02-13,0.008901092429601704,0.008901092429601798,0.011739169135613015,0.00934376981728837,0.0,0.9897833519447974
2023-02-14,0.018287833986644485,0.018287833986644575,-0.00046046007816535894,0.012994604996687089,0.0,1.0078843455679085
2023-02-15,0.0059838892821773735,0.0059838892821773015,0.00324744509078978,0.01062756970192339,0.0,1.0139154139010267
2023-02-16,-0.01618520158023571,-0.01618520158023573,-0.013768877902945786,-0.0193495932307576,0.0,0.9975049885417304
2023-02-17,-0.011705668311736282,-0.01170566831173625,-0.002498216899446848,-0.006169688391609768,0.0,0.9858285260065587
2023-02-21,-0.010452434604857494,-0.010452434604857452,-0.020060866592698012,-0.019707630994449235,0.0,0.9755242178068722
2023-02-22,0.0019973759714528964,0.001997375971452886,-0.0013781568733265415,0.00019100131000285986,0.0,0.97747270643909
2023-02-23,0.012585676723104242,0.012585676723104289,0.00531946883952461,0.007045871360477044,0.0,0.9897748619279902
2023-02-24,-0.005977155394508231,-0.005977155394508271,-0.010682455848828432,-0.009547523065685267,0.0,0.9838588237726686
2023-02-27,0.006796868270098167,0.0067968682700980665,0.003405700613174245,0.005144939901996361,0.0,0.9905459825942251
2023-02-28,0.004478494588902358,0.00447849458890226,-0.0036957035309918007,-0.0006885131257371077,0.0,0.9949821374173322
2023-03-01,-0.00374935028515666,-0.0037493502851566607,-0.0038358650848324682,-0.0037352250474742437,0.0,0.9912516008566807
2023-03-02,0.008857244072869967,0.00885724407287003,0.0077771115470717245,0.007146681620562982,0.0,1.0000313582230915
2023-03-03,0.0087006439594102,0.00870064395941017,0.016037754619682598,0.016708277276775402,0.0,1.008732275019236
2023-03-06,-0.002430358033008163,-0.003442778474978536,0.0006927415327093733,0.0017415188607782818,1.0148869806964924,1.0052594332557836
2023-03-07,-0.012940133878584427,-0.012940133878584392,-0.015328714360699602,-0.012525903047746999,0.0,0.9922512416067439
2023-03-08,0.002305839499450849,0.0023058394994508458,0.0016321427380827647,0.003693145687802326,0.0,0.9945392137130199
2023-03-09,-0.00783256217162009,-0.007832562171620094,-0.018449794804487274,-0.022214474291772163,0.0,0.9867494234894985
2023-03-10,-0.008683648062948236,-0.00868364806294819,-0.01442953266305036,-0.01811844519679205,0.0,0.9781808387695986
2023-03-13,-0.0012540600689915108,-0.001254060068991536,-0.0014250598482130616,0.006481069098280189,0.0,0.976954141239445
2023-03-14,0.009763805507777569,0.009763805507777557,0.01653005157861087,0.02210104484198178,0.0,0.9864929314645248
2023-03-15,-0.005223695236746367,-0.005223695236746373,-0.006254471931951167,-0.009917464503680286,0.0,0.9813397930373495
2023-03-16,0.007160030198905505,0.007160030198905432,0.017545198774913118,0.021212558311129438,0.0,0.9883662155908846
2023-03-17,-0.0050434353891367825,-0.005043435389136763,-0.011692681603456823,-0.005267705302283751,0.0,0.9833814544417463
2023-03-20,0.008837321221983361,0.00883732122198344,0.009615606462570536,0.008993669949353722,0.0,0.9920719122383893
2023-03-21,0.005040690645161408,0.005040690645161439,0.01313058303335235,0.018871467966834594,0.0,0.9970726398457368
2023-03-22,-0.009615216573820234,-0.009615216573820251,-0.017046583079635913,-0.018440614306045013,0.0,0.9874855704737894
2023-03-23,0.0005228893479595757,0.0005228893479596319,0.0027034105624375027,0.005280604132657876,0.0,0.988001916159854
2023-03-24,0.00673092191520651,0.0067309219152065225,0.006561910930938275,0.0007180104439673124,0.0,0.9946520799096004
